tid	finish_ts	hb_wall_s	rc	429	answer
T357-w1-n12	2026-08-20T02:24:37Z	1.6	0		112
T357-w1-n16	2026-08-20T02:25:28Z	4.2	0		112
T357-w1-n20	2026-08-20T02:24:54Z	1.9	0		112
T357-w1-n4	2026-08-20T02:23:32Z	1.8	0		112
T357-w1-n5	2026-08-20T02:24:32Z	1.4	0		112
T357-w1-n6	2026-08-20T02:24:00Z	3.5	0		112
T357-w1-n8	2026-08-20T02:24:17Z	7.1	0		112
T357-w10-n12	2026-08-20T02:24:41Z	5.7	0		391
T357-w10-n16	2026-08-20T02:25:30Z	5.8	0		391
T357-w10-n20	2026-08-20T02:24:57Z	5.0	0		391
T357-w11-n12	2026-08-20T02:24:41Z	5.9	0		432
T357-w11-n16	2026-08-20T02:25:33Z	8.6	0		432
T357-w11-n20	2026-08-20T02:24:53Z	0.2	1	Y	
T357-w12-n12	2026-08-20T02:24:40Z	4.6	0		475
T357-w12-n16	2026-08-20T02:25:29Z	4.9	0		475
T357-w12-n20	2026-08-20T02:25:01Z	9.0	0		475
T357-w13-n16	2026-08-20T02:25:34Z	10.0	0		520
T357-w13-n20	2026-08-20T02:24:58Z	5.8	0		520
T357-w14-n16	2026-08-20T02:25:31Z	6.6	0		567
T357-w14-n20	2026-08-20T02:24:59Z	7.1	0		567
T357-w15-n16	2026-08-20T02:25:33Z	9.1	0		616
T357-w15-n20	2026-08-20T02:24:55Z	2.9	0		616
T357-w16-n16	2026-08-20T02:25:31Z	7.1	0		667
T357-w16-n20	2026-08-20T02:24:53Z	0.3	1	Y	
T357-w17-n20	2026-08-20T02:25:01Z	8.6	0		720
T357-w18-n20	2026-08-20T02:24:57Z	4.3	0		775
T357-w19-n20	2026-08-20T02:24:57Z	5.0	0		832
T357-w2-n12	2026-08-20T02:24:36Z	1.1	0		135
T357-w2-n16	2026-08-20T02:25:26Z	2.1	0		135
T357-w2-n20	2026-08-20T02:24:54Z	1.3	0		135
T357-w2-n4	2026-08-20T02:23:33Z	2.6	0		135
T357-w2-n5	2026-08-20T02:24:33Z	2.3	0		135
T357-w2-n6	2026-08-20T02:23:59Z	2.8	0		135
T357-w2-n8	2026-08-20T02:24:17Z	7.9	0		135
T357-w20-n20	2026-08-20T02:24:57Z	4.5	0		891
T357-w3-n12	2026-08-20T02:24:36Z	1.1	0		160
T357-w3-n16	2026-08-20T02:25:26Z	2.0	0		160
T357-w3-n20	2026-08-20T02:24:55Z	2.4	0		160
T357-w3-n4	2026-08-20T02:23:34Z	3.4	0		160
T357-w3-n5	2026-08-20T02:24:32Z	1.4	0		160
T357-w3-n6	2026-08-20T02:24:00Z	4.2	0		160
T357-w3-n8	2026-08-20T02:24:17Z	7.3	0		160
T357-w4-n12	2026-08-20T02:24:38Z	2.8	0		187
T357-w4-n16	2026-08-20T02:25:30Z	6.2	0		187
T357-w4-n20	2026-08-20T02:24:54Z	1.5	0		187
T357-w4-n4	2026-08-20T02:23:33Z	2.2	0		187
T357-w4-n5	2026-08-20T02:24:35Z	3.8	0		187
T357-w4-n6	2026-08-20T02:24:01Z	4.8	0		187
T357-w4-n8	2026-08-20T02:24:19Z	9.6	0		187
T357-w5-n12	2026-08-20T02:24:39Z	3.9	0		216
T357-w5-n16	2026-08-20T02:25:34Z	10.0	0		216
T357-w5-n20	2026-08-20T02:24:55Z	2.9	0		216
T357-w5-n5	2026-08-20T02:24:33Z	1.7	0		216
T357-w5-n6	2026-08-20T02:23:58Z	2.0	0		216
T357-w5-n8	2026-08-20T02:24:16Z	6.6	0		216
T357-w6-n12	2026-08-20T02:24:39Z	4.1	0		247
T357-w6-n16	2026-08-20T02:25:27Z	2.7	0		247
T357-w6-n20	2026-08-20T02:25:00Z	7.7	0		247
T357-w6-n6	2026-08-20T02:24:02Z	5.5	0		247
T357-w6-n8	2026-08-20T02:24:19Z	9.2	0		247
T357-w7-n12	2026-08-20T02:24:41Z	6.5	0		280
T357-w7-n16	2026-08-20T02:25:29Z	4.5	0		280
T357-w7-n20	2026-08-20T02:24:56Z	3.3	0		280
T357-w7-n8	2026-08-20T02:24:19Z	9.1	0		280
T357-w8-n12	2026-08-20T02:24:40Z	4.9	0		315
T357-w8-n16	2026-08-20T02:25:28Z	4.2	0		315
T357-w8-n20	2026-08-20T02:24:59Z	6.6	0		315
T357-w8-n8	2026-08-20T02:24:19Z	9.3	0		315
T357-w9-n12	2026-08-20T02:24:42Z	6.9	0		352
T357-w9-n16	2026-08-20T02:25:33Z	8.9	0		352
T357-w9-n20	2026-08-20T02:24:59Z	6.7	0		352
