cell,r,model,shape,exit,wall,cpu,rss_mb,tokens_in,tokens_out,tokens_total,tokens_source,fresh,cache_read,session_id,out_bytes,record,session_sha256
ds-m,1,ds,m,0,49.1,1.5,208,139712,6652,146364,pi-session-jsonl,5184,134528,01a02f1d-82e2-7acd-ab80-0743575dc4da,1844551,records/ds-m-r1.json,700b4fc593bf7e8938c7a034af50ca7ce7487a60ac1f0846886f91c58f0c8e21
ds-m,2,ds,m,0,43.6,1.1,209,80044,6209,86253,pi-session-jsonl,5036,75008,01a02f2e-435a-7511-b152-589ae7ce6ffd,1732046,records/ds-m-r2.json,4c11ea605f7345d36ef202cc1c5668adc1d9626379258eebe137d0c25ea20b2f
ds-m,3,ds,m,0,36.9,1.2,209,75593,5028,80621,pi-session-jsonl,4937,70656,01a02f35-9c9a-7c3d-8405-2cb54027da4c,1409908,records/ds-m-r3.json,ce10895626fba4248011e3a54e0e6c4302384c71d8585eb1785e3c2994e9bc0a
ds-m,4,ds,m,0,37.5,1.0,209,58110,5083,63193,pi-session-jsonl,4990,53120,01a02f46-bd2f-77fa-af87-8987b0d0c150,1435782,records/ds-m-r4.json,bbf15a3925789de915990e3635265d72db1f7e0ccec17092076cc5e712505c93
ds-m,5,ds,m,0,10.0,0.8,215,83650,5925,89575,pi-session-jsonl,8514,75136,01a02f4b-7b6b-7af5-91c7-df4da700bac5,478208,records/ds-m-r5.json,900cd3030865f74d9a641908c2cfd325db15f7514fe36539d4a84661c8ae1e88
op-m,1,op,m,0,37.6,0.8,491,127134,2696,129830,claude-json-envelope,8,127126,d35faaba-91b5-462c-9754-d68541275838,1695,records/op-m-r1.json,
op-m,2,op,m,0,36.3,0.7,489,130553,2676,133229,claude-json-envelope,8,130545,a9c2998e-d233-40a4-8058-435bd1a80be4,1899,records/op-m-r2.json,
op-m,3,op,m,0,45.2,0.8,494,180783,2710,183493,claude-json-envelope,10,180773,530d7a85-9df1-45dc-8362-1b17c658d794,1575,records/op-m-r3.json,
op-m,4,op,m,0,32.6,0.6,488,100896,2311,103207,claude-json-envelope,6,100890,4e5afe34-5552-4810-8593-ba49d6d48857,1264,records/op-m-r4.json,
op-m,5,op,m,0,33.6,0.6,489,140702,2466,143168,claude-json-envelope,8,140694,75065b3f-4803-4ad8-a3c0-5ae8c7c5653e,1542,records/op-m-r5.json,
ds-a,1,ds,a,0,388.5,5.1,257,2743019,43210,2786229,pi-session-jsonl,81899,2661120,01a02f1e-d6b3-7e1f-a67a-90b5060b819b,12886828,records/ds-a-r1.json,065a48b24cac45a4eb9480d5b3d3087b0a6a56f0a716129d7c5c3725b0482b54
ds-a,2,ds,a,0,388.0,4.8,231,1499648,44665,1544313,pi-session-jsonl,70144,1429504,01a02f2f-7cb6-7f92-a010-7134193ea042,12950378,records/ds-a-r2.json,b4b39f3795a69dba14889c1b805f0fea23cbec463480d61e19d0f24f05c7b0ac
ds-a,3,ds,a,0,443.6,4.8,280,2931079,48723,2979802,pi-session-jsonl,82695,2848384,01a02f36-dc94-72da-9ff1-2ff496ddd786,14355086,records/ds-a-r3.json,58d61b7612414bf40d72f1cd36ab356c5edc57f68d9ccb4f1482aa3d3502d444
ds-a,4,ds,a,0,458.8,6.0,283,2738274,62390,2800664,pi-session-jsonl,69346,2668928,01a02f4c-695f-7614-b2a0-888f01da7612,15317406,records/ds-a-r4.json,01c49d86c2f91f0f6d4025e7d54e6366af44508071525c91461a737e770a6751
ds-a,5,ds,a,0,356.2,4.7,205,1615154,38651,1653805,pi-session-jsonl,74418,1540736,01a02f65-a8f8-769d-8e3e-cc7120eb6ad8,11554864,records/ds-a-r5.json,4db86b79313d8221730d78810f5b25d088e0c8eedbf6bbca4ef871f795d182f7
op-a,1,op,a,0,622.1,2.7,628,2852376,38755,2891131,claude-json-envelope,70,2852306,42b65c65-9f18-4d10-9432-3766f8ed1090,27289,records/op-a-r1.json,
op-a,2,op,a,0,663.0,2.7,625,3441860,44049,3485909,claude-json-envelope,80,3441780,6b0a9be3-5f51-4010-97a9-b10d4fba839d,29785,records/op-a-r2.json,
op-a,3,op,a,0,596.6,3.4,632,2928128,38020,2966148,claude-json-envelope,72,2928056,ce855331-9ad9-406e-9d66-55a7579fa454,31544,records/op-a-r3.json,
op-a,4,op,a,0,532.2,2.7,510,2792687,34524,2827211,claude-json-envelope,76,2792611,609ba9e4-4182-4566-9988-21226908ddee,24576,records/op-a-r4.json,
op-a,5,op,a,0,770.8,7.8,639,3823090,48409,3871499,claude-json-envelope,82,3823008,49493ed4-afb9-47ef-8831-fd4671bdf265,30353,records/op-a-r5.json,
